"","X1","X2"
"1",0,0
"2",227302552288.66,5.37666192561022e+20
"3",132056443452.959,97839380526914404352
"4",56770830622.2014,24393957885196283904
"5",29731898795.5036,5967515962254717952
"6",18320183863.3688,1400866284432035584
"7",7370015880.07181,309900605996375040
"8",2959453114.87371,80414794012927264
"9",1306710897.61595,15395849161045796
"10",750467110.861816,3684142431928307
"11",367335796.386769,958955646844628
"12",188417461.099138,217931270291309
"13",87509136.5152058,50693926746778.8
"14",39740624.4690262,12314124811547.1
"15",22408420.325286,2885288185336.41
"16",11892008.2710719,786291539411.743
"17",6558395.49319181,193594863082.398
"18",2828955.23188537,49604187852.5567
"19",1135488.04002624,10002311515.7647
"20",635062.88843539,2189820666.34698
"21",309135.168476107,614365902.052633
"22",164925.945952873,156172977.071789
"23",91874.5861515558,48513119.6936081
"24",47652.1923850795,11278836.0382938
"25",22386.9923282496,2699360.46734118
"26",11839.0713039041,753293.647065514
"27",7694.63049147073,167721.11438088
"28",3422.05115926358,57451.8288502758
"29",1649.50576244191,14775.5971689562
"30",813.272987032437,3122.15443129575
"31",427.023315391106,858.348045801511
"32",250.749619463935,311.993427646566
"33",194.657613722308,106.266382805799
"34",107.977664619848,52.8552907184463
"35",55.4634551783986,30.7885021315923
"36",36.3754852401636,21.6812021278752
"37",24.386978402741,11.7270474380656
"38",16.3677009380025,6.82884393637309
"39",11.8443470339867,4.19790173445738
"40",9.70301977757251,2.65580099967874
"41",10.0193170722139,2.1112606786193
"42",10.8424240755777,1.77952711576244
"43",9.49028012638253,1.42210837098636
"44",10.1236910954091,1.15726958319461
"45",10.271303778993,1.05685900741013
"46",12.1132390724229,1.02041864366149
"47",10.1766241141673,0.771446742223888
"48",10.4052277364475,0.753721211947478
"49",10.4217195516647,0.982998135628078
"50",10.3995735984652,0.83410872475888
"51",10.9422780135701,0.749715953206608
"52",12.6518556508745,0.789509368360904
"53",10.5949698230986,0.987217659787349
"54",10.4331523766277,0.912470328899625
"55",11.0477454109508,0.704554809038118
"56",11.5536112012171,0.626279111101813
"57",11.9567261841448,0.5221449895583
"58",11.1477254532704,0.620429906197524
"59",11.8981942415096,0.688053073782944
"60",10.9415461422024,0.774405130752245
"61",11.210007664058,0.716647935729073
"62",9.09140170138048,0.67535245685332
"63",11.625255764018,0.756774912281316
"64",11.5126332538309,0.839860089086312
"65",10.9094988458507,0.948836636039861
"66",11.1601550118921,1.06562453505382
"67",9.87236679828984,1.16310237012165
"68",12.5301419695551,1.18743271631397
"69",9.76932928875255,1.10202993433066
"70",10.4711479365831,0.963378606948978
"71",11.9111037996256,0.8924351551089
"72",10.7935446287748,0.923453623580769
